Question,Answer,Source,Type
What is the approximate value of the integral ∫ 1 - 1 t 2 - sin( πt ) dx if the step length h = 1?,1,080622_SF1524_Omtentamen_DEL1_SOL.pdf,formula
Integralen (2p),,080622_SF1524_Omtentamen_DEL1_SOL.pdf,concept
e(h) = ?,,080622_SF1524_Omtentamen_DEL1_SOL.pdf,concept
Newton's method,,080622_SF1524_Omtentamen_DEL1_SOL.pdf,concept
Relative uncertainty,,080622_SF1524_Omtentamen_DEL1_SOL.pdf,concept
Interpolation degree,,080622_SF1524_Omtentamen_DEL1_SOL.pdf,concept
y n - hay n ( K - y n ),y n +1 = y n + hay n ( K - y n ),080622_SF1524_Omtentamen_DEL1_SOL.pdf,concept
Vilken noggrannhetsordning har framåt Eulers metod?,1,080622_SF1524_Omtentamen_DEL1_SOL.pdf,concept
a) Vektorn glyph[vector] b i normalekvationerna blir,"( - 1 , 1 , 19) T",080622_SF1524_Omtentamen_DEL1_SOL.pdf,concept
b) Hur många element har residualvektorn ?,5,080622_SF1524_Omtentamen_DEL1_SOL.pdf,concept
iterationsformeln,x k +1 = x k - x 2 k - 2 x k + x k - 1,080622_SF1524_Omtentamen_DEL1_SOL.pdf,concept
What is the focus of chapter 10.6?,Cylindrical and spherical coordinates,FunktionerModul1.pdf,concept
What is important in section 10.1?,"Topological concepts: surrounding, inner and outer points, boundary points, open and closed sets",FunktionerModul1.pdf,concept
What are two common interpretations of continuous vector-valued functions of a real variable?,"Either the curve itself, its shape, what it has for tangents at different points, what it has for length.",FunktionerModul1.pdf,concept
What is the derivative of a vector-valued function of a real variable?,A vector that is a tangent vector to the curve and describes the speed,FunktionerModul1.pdf,concept
What is the length of this vector?,The speed and it is the integral of the curve's length,FunktionerModul1.pdf,concept
What is the second derivative?,A vector that describes acceleration when we have a particle moving along the curve,FunktionerModul1.pdf,concept
What are important concepts in module I?,"Definition, value, graph, gradient, and continuity",FunktionerModul1.pdf,concept
What are polar coordinates used for?,To describe shapes in R^2,FunktionerModul1.pdf,concept
What are cylindrical coordinates used for?,To describe shapes in R^3,FunktionerModul1.pdf,concept
What are spherical coordinates used for?,To describe shapes in R^3,FunktionerModul1.pdf,concept
What does it mean for a set to be open?,A set is open if every point in the set is also in its interior.,FunktionerModul1.pdf,concept
What does it mean for a set to be closed?,A set is closed if it contains all its boundary points.,FunktionerModul1.pdf,concept
What does it mean for a set to be compact?,A set is compact if it is both closed and bounded.,FunktionerModul1.pdf,concept
What does it mean for a set to be bounded?,A set is bounded if it is contained within a finite region.,FunktionerModul1.pdf,concept
What does it mean for a set to be disjoint?,A set is disjoint if it has no common elements with another set.,FunktionerModul1.pdf,concept
What does it mean for a set to be open around a point?,"An open set around a point means an open, unspecified set that includes all points around that point.",FunktionerModul1.pdf,concept
What does it mean for a set to be compact and open?,A set is compact and open if it is both closed and bounded.,FunktionerModul1.pdf,concept
What does it mean for a set to be disjoint and open?,A set is disjoint and open if it has no common elements with another set and is open.,FunktionerModul1.pdf,concept
What does it mean for a vector-valued function to be defined?,A vector-valued function is defined if it assigns a vector to each real number.,FunktionerModul1.pdf,concept
What does it mean for a vector-valued function to be specified?,A vector-valued function is specified if it assigns a vector to each real number.,FunktionerModul1.pdf,concept
What is the definition of a curve?,A curve is a set of points in space that can be parameterized by a vector-valued function.,FunktionerModul1.pdf,concept
What is the orientation of a curve?,The orientation of a curve is the direction in which we traverse the points of the curve.,FunktionerModul1.pdf,concept
What is a parameterized curve?,A parameterized curve is a curve that can be represented by a vector-valued function.,FunktionerModul1.pdf,concept
What is the length of a curve?,The length of a curve is the integral of the magnitude of the velocity vector along the curve.,FunktionerModul1.pdf,concept
What is the curvature of a curve?,The curvature of a curve is the reciprocal of the radius of the osculating circle.,FunktionerModul1.pdf,concept
What is the tangent line to a curve?,The tangent line to a curve is the line that passes through the point on the curve and has the same direction as the curve at that point.,FunktionerModul1.pdf,concept
What is the normal vector to a curve?,The normal vector to a curve is the vector perpendicular to the tangent line at a given point on the curve.,FunktionerModul1.pdf,concept
What is the binormal vector to a curve?,The binormal vector to a curve is the vector perpendicular to both the tangent line and the normal vector at a given point on the curve.,FunktionerModul1.pdf,concept
What type of curve is the particle moving along?,Ellipskurva,FunktionerModul1.pdf,concept
What is the speed of the particle at time t = 2?,"Bestäm partikelns hastighet, fart och acceleration vid tidpunkten t = 2.",FunktionerModul1.pdf,concept
Where does the particle move fastest?,I vilka punkter på kurvan är farten som störst?,FunktionerModul1.pdf,concept
What is the maximum speed of the particle?,Bestäm den största farten.,FunktionerModul1.pdf,concept
"How do you know that the point (2, 4, 4) lies on the curve?","Hur vet man att punkten (2, 4, 4) ligger på kurvan?",FunktionerModul1.pdf,concept
"Find a parameter representation of the tangent line to the curve at the point (2, 4, 4).","Bestäm en parameterframställning av tangentlinjen till kurvan i punkten (2, 4, 4).",FunktionerModul1.pdf,concept
"Verify that the point (1, 0, 1) lies on the spiral curve.","Verifiera att punkten (1, 0, 1) ligger på spiralkurvan.",FunktionerModul1.pdf,concept
"Find the length of the part of the spiral curve that lies between the points (-2, 4, 4) and (2, 4, 4).","Bestäm längden av den del av spiralkurvan som ligger mellan punkten (-2, 4, 4) och (2, 4, 4).",FunktionerModul1.pdf,concept
What is the speed of the particle at time t = 1?,"Bestäm partikelns hastighet, fart och acceleration i tidpunkten t = 1.",FunktionerModul1.pdf,concept
"Find the length of the part of the curve that lies between the points (-2, 4, 4) and (2, 4, 4).","Bestäm en integral som ger längden av den del av kurvan som ligger mellan punkten (-2, 4, 4) och (2, 4, 4).",FunktionerModul1.pdf,concept
"Verify that the point (1, 0, 1) lies on the curve.","Verifiera att punkten (1, 0, 1) ligger på kurvan.",FunktionerModul1.pdf,concept
"Find the tangent vector to the curve at the point (1, 0, 1).","Bestäm en tangentvektor till kurvan i punkten (1, 0, 1).",FunktionerModul1.pdf,concept
"Find a parameter representation of the tangent line to the curve at the point (1, 0, 1).","Bestäm en parametrisering av tangentlinjen till kurvan i punkten (1, 0, 1).",FunktionerModul1.pdf,concept
"Find the length of the part of the curve that lies between the points (0, 0, 0) and (1, 0, 1).","Bestäm längden av den del av kurvan som ligger mellan punkten (0, 0, 0) och (1, 0, 1).",FunktionerModul1.pdf,concept
nktioner kontinuerliga?,,FunktionerModul1.pdf,concept
"Rektangul¨ ara koordinater: x 2 + y 2 ≤ 9, x -y ≥ 3",,FunktionerModul1.pdf,concept
"Pol¨ ara koordinater: 3 π/ 2 ≤ θ ≤ 2 π , 3 cos θ -sin θ ≤ r ≤ 3",,FunktionerModul1.pdf,concept
Rektangul¨ ara koordinater: x 2 +( y -2) 2 ≤ 4,,FunktionerModul1.pdf,concept
"Pol¨ ara koordinater: 0 ≤ θ ≤ π , 0 ≤ r ≤ 4 sin θ",,FunktionerModul1.pdf,concept
"1 ≤ r ≤ √ 3 , π/ 4 &lt; θ &lt; 3 π/ 4.",,FunktionerModul1.pdf,concept
"I ( r, z )-planet:",,FunktionerModul1.pdf,concept
"Rymdpol¨ ara koordinater: 0 ≤ r ≤ a , 0 ≤ ϕ ≤ π/ 2, π ≤ θ ≤ 2 π",,FunktionerModul1.pdf,concept
"0 &lt; r &lt; 3 , 0 &lt; ϕ &lt; π/ 2 , 0 &lt; θ &lt; π",,FunktionerModul1.pdf,concept
"L˚ at P = ( a, b ) vara en punkt ej med i m¨ angden C 1 .",,FunktionerModul1.pdf,concept
"M¨ angden ¨ ar sluten av samma sk¨ al som uppgiften a), och ryms i l˚ adan d¨ ar | x | ≤ 5 och | y | ≤ 5.",,FunktionerModul1.pdf,concept
M¨ angden ¨ ar begr¨ ansad men ej sluten.,,FunktionerModul1.pdf,concept
"Randpunkterna ¨ ar m¨ angden { ( x, y ) | x 2 = y } .",,FunktionerModul1.pdf,concept
"What is the set of half-planes {(x, y) : x + y > -1}?",Halvplanet.,FunktionerModul1.pdf,definition
"What is the set of strips {(x, y) : -3 ≤ y ≤ 1}?",Stripen.,FunktionerModul1.pdf,definition
What is the shape of the level curves?,Cirklar runt origo i xy-planet.,FunktionerModul1.pdf,definition
What is the type of the level curves?,R¨ ata linjer i xy-planet.,FunktionerModul1.pdf,definition
What is the type of the level curves?,Ellipsoider runt origo i xyz-rymden.,FunktionerModul1.pdf,definition
What is the focus of chapter 10.6?,Cylindrical and spherical coordinates,FunktionerModul1.pdf,concept
What is important in section 10.1?,"Topological concepts: surrounding, inner and outer points, boundary points, open and closed sets",FunktionerModul1.pdf,concept
What are two common interpretations of continuous vector-valued functions of a real variable?,"Either the curve itself, its shape, what it has for tangents at different points, what it has for length.",FunktionerModul1.pdf,concept
What is the derivative of a vector-valued function of a real variable?,A vector that is a tangent vector to the curve and describes the speed,FunktionerModul1.pdf,concept
What is the length of this vector?,The speed and it is the integral of the curve's length,FunktionerModul1.pdf,concept
What is the second derivative?,A vector that describes acceleration when we have a particle moving along the curve,FunktionerModul1.pdf,concept
What are important concepts in module I?,"Definition, value, graph, gradient, and continuity",FunktionerModul1.pdf,concept
What are polar coordinates used for?,To describe shapes in R^2,FunktionerModul1.pdf,concept
What are cylindrical coordinates used for?,To describe shapes in R^3,FunktionerModul1.pdf,concept
What are spherical coordinates used for?,To describe shapes in R^3,FunktionerModul1.pdf,concept
What does it mean for a set to be open?,A set is open if every point in the set is also in its interior.,FunktionerModul1.pdf,concept
What does it mean for a set to be closed?,A set is closed if it contains all its boundary points.,FunktionerModul1.pdf,concept
What does it mean for a set to be compact?,A set is compact if it is both closed and bounded.,FunktionerModul1.pdf,concept
What does it mean for a set to be bounded?,A set is bounded if it is contained within a finite region.,FunktionerModul1.pdf,concept
What does it mean for a set to be disjoint?,A set is disjoint if it has no common elements with another set.,FunktionerModul1.pdf,concept
What does it mean for a set to be open around a point?,"An open set around a point means an open, unspecified set that includes all points around that point.",FunktionerModul1.pdf,concept
What does it mean for a set to be compact and open?,A set is compact and open if it is both closed and bounded.,FunktionerModul1.pdf,concept
What does it mean for a set to be disjoint and open?,A set is disjoint and open if it has no common elements with another set and is open.,FunktionerModul1.pdf,concept
What does it mean for a vector-valued function to be defined?,A vector-valued function is defined if it assigns a vector to each real number.,FunktionerModul1.pdf,concept
What does it mean for a vector-valued function to be specified?,A vector-valued function is specified if it assigns a vector to each real number.,FunktionerModul1.pdf,concept
What is the definition of a curve?,A curve is a set of points in space that can be parameterized by a vector-valued function.,FunktionerModul1.pdf,concept
What is the orientation of a curve?,The orientation of a curve is the direction in which we traverse the points of the curve.,FunktionerModul1.pdf,concept
What is a parameterized curve?,A parameterized curve is a curve that can be represented by a vector-valued function.,FunktionerModul1.pdf,concept
What is the length of a curve?,The length of a curve is the integral of the magnitude of the velocity vector along the curve.,FunktionerModul1.pdf,concept
What is the curvature of a curve?,The curvature of a curve is the reciprocal of the radius of the osculating circle.,FunktionerModul1.pdf,concept
What is the tangent line to a curve?,The tangent line to a curve is the line that passes through the point on the curve and has the same direction as the curve at that point.,FunktionerModul1.pdf,concept
